Name,Current price,Change(%),Open,High,Low,Volume
NEXTDECADE CORP.,7.18,12.58,7.35,7.41,7.16,2274545
HASHICORP INC.,33.77,10.44,34.0,34.0,33.73,2272294
THE CARLYLE GROUP INC.,53.52,11.6,54.0,54.32,53.38,2262564
REPLIMUNE GROUP INC.,14.38,8.45,13.64,14.57,13.22,2236717
OPTION CARE HEALTH INC.,23.74,1.45,23.47,23.83,23.26,2231528
SOTERA HEALTH CO.,12.95,12.63,13.23,13.32,12.72,2231526
HENRY SCHEIN INC.,77.28,0.57,76.55,77.37,75.26,2207686
SUNRISE COMMUNICATIONS AG ADS,45.1,11.72,45.92,45.93,44.57,2191357
INTELLIA THERAPEUTICS INC.,14.73,10.41,14.65,14.77,14.17,2178078
BIOLINERX LTD. ADS,0.2762,1.66,0.2985,0.2985,0.2751,2175918
REVANCE THERAPEUTICS INC.,4.02,5.79,3.97,4.2,3.87,2175458
MOBIX LABS INC.,0.8598,19.2,0.74,1.03,0.716,2168253
GLOBALFOUNDRIES INC. ORD.,44.11,11.87,45.03,45.47,43.79,2160090
ALLEGRO MICROSYSTEMS INC.,21.57,13.4,22.78,22.96,21.42,2158682
LIBERTY GLOBAL LTD.,14.15,1.29,13.99,14.26,13.83,2157883
ADMA BIOLOGICS INC,21.82,1.63,21.32,21.86,21.08,2140939
LEGALZOOM.COM INC.,7.94,0.38,7.9,7.97,7.85,2139604
ALTIMMUNE INC.,8.43,11.63,8.68,9.23,8.39,2139184
GOLUB CAPITAL BDC,15.52,0.91,15.4,15.56,15.25,2136982
PACCAR INC.,115.82,10.62,115.83,116.26,114.59,2131315
STANDARD BIOTOOLS INC.,1.71,5.56,1.61,1.72,1.58,2129014
UP FINTECH HOLDING,5.5,12.31,5.6,5.66,5.5,2098258
GLOBAL ENGINE GROUP HOLDING,4.02,11.47,4.18,4.38,2.24,2097537
ENTEGRIS INC.,105.52,12.31,108.34,108.53,103.44,2092450
QXO INC.,17.99,3.04,17.59,18.18,17.49,2086231
BRIGHTCOVE INC.,4.31,10.23,4.32,4.33,4.31,2071265
OFFICE PROPERTIES INCOME TRUST,1.72,4.24,1.64,1.85,1.58,2064233
FIVE BELOW INC.,88.9,12.96,91.2,91.2,87.08,2061267
GOLDEN OCEAN GROUP,10.86,11.99,11.06,11.06,10.83,2052499
ADITXT INC.,0.3299,117.53,0.376,0.376,0.324,2044374
GE HEALTHCARE TECHNOLOGIES,82.51,10.18,82.78,83.43,82.39,2040899
SONOS INC.,13.17,15.93,13.89,13.92,13.14,2035075
UNITI GROUP INC.,5.99,10.66,5.97,6.12,5.9,2015282
SNDL INC.,1.96,12.97,2.01,2.03,1.95,2007783
FASTENAL COMPANY,84.1,0.42,83.62,84.23,82.88,2006749
REZOLVE AI LTD.,2.24,2.28,2.43,2.68,2.14,1999611
ACLARIS THERAPEUTICS INC.,3.63,19.02,3.93,4.15,3.63,1997314
ROYALTY PHARMA PLC,26.29,10.68,26.59,26.62,26.01,1991661
HOLOGIC INC.,79.0,10.92,80.0,80.18,78.59,1985291
TETRA TECH INC.,41.64,1.02,41.6,42.28,41.34,1976712
ALKAMI TECHNOLOGY INC.,39.69,15.99,41.5,41.76,39.15,1969452
VIVID SEATS INC.,3.56,11.11,3.59,3.63,3.37,1968226
MICROCLOUD HOLOGRAM INC.,1.99,12.45,2.04,2.04,1.95,1967831
TSS INC.,9.44,16.54,8.3,9.82,8.22,1966670
NASDAQ INC.,82.65,1.39,81.8,83.04,81.1,1964956
QIFU TECHNOLOGY INC ADS,35.68,5.41,33.7,35.8,33.0,1953979
PURECYCLE TECHNOLOGIES INC.,13.28,2.79,12.85,13.54,12.68,1947257
ACADEMY SPORTS AND OUTDOORS,48.01,12.89,49.21,49.86,47.81,1943118
BRUKER CORP.,57.5,12.38,58.3,58.34,56.35,1942950
XEROX HOLDINGS CORP.,9.08,10.87,9.08,9.18,8.79,1928594
DENTSPLY SIRONA INC.,19.19,11.69,19.43,19.52,19.06,1926683
TEVOGEN BIO HOLDINGS INC.,1.34,15.63,1.42,1.51,1.33,1922356
MIND MEDICINE (MINDMED) INC.,8.11,6.57,7.98,8.54,7.76,1916924
AMARIN CORP.,0.4996,15.56,0.52,0.52,0.4902,1913813
COSTAR GROUP INC.,79.92,10.45,80.41,81.14,79.48,1913802
GUARDANT HEALTH INC.,34.37,12.91,34.92,35.05,33.77,1912527
GROCERY OUTLET HOLDING,21.16,1.34,20.82,21.27,20.59,1911012
IDEAYA BIOSCIENCES INC.,26.78,0.9,26.45,27.37,26.02,1901729
INNODATA INC.,40.37,111.06,42.16,44.64,40.25,1897038
ICAD INC.,1.73,9.49,1.58,1.88,1.52,1893361
WILLSCOT HOLDINGS,38.52,10.52,38.71,38.75,37.82,1879950
ACM RESEARCH INC.,17.37,15.8,18.38,18.44,17.12,1879500
AVEPOINT INC.,18.12,10.55,18.23,18.5,17.98,1872866
EMBECTA CORP.,18.7,29.77,17.18,20.8,17.0,1872782
SKYWORKS SOLUTIONS INC.,86.28,11.88,88.12,88.45,85.72,1863849
BLOOMIN  BRANDS INC.,13.74,12.97,14.05,14.07,13.52,1862759
FUELCELL ENERGY INC.,10.7,2.49,10.15,10.84,9.51,1861529
ELECTRONIC ARTS INC.,165.02,0.54,164.81,166.31,163.72,1859568
WEBUY GLOBAL,0.177,1.14,0.195,0.1967,0.176,1856187
PLAYA HOTELS & RESORTS N.V.,9.77,11.31,9.58,9.87,9.58,1848379
SILEXION THERAPEUTICS CORP,0.32,4.07,0.307,0.3498,0.2856,1838647
CELLEBRITE DI,19.93,10.3,19.94,20.29,19.79,1834751
MMTEC INC.,0.2255,14.69,0.237,0.244,0.2206,1821292
AGORA INC. ADS,4.74,10.42,4.35,5.0,4.27,1818749
TMC THE METALS CO.,0.8345,17.39,0.8976,0.92,0.8345,1816479
LATTICE SEMICONDUCTOR,55.98,12.61,57.34,57.45,55.42,1813044
ECHOSTAR CORP.,24.87,1.88,24.06,25.31,23.84,1811389
WYNN RESORTS LTD.,91.86,11.7,93.07,93.07,91.63,1807470
POWERFLEET INC.,7.15,12.85,7.26,7.34,7.03,1807242
VITAL FARMS INC.,32.53,0.81,32.1,33.2,32.1,1806893
AUTOLUS THERAPEUTICS PLC ADS,3.1,4.03,2.99,3.26,2.99,1802485
CDW CORP.,177.8,11.95,180.74,181.73,177.36,1792757
FIRST SOLAR INC.,192.32,10.26,192.36,193.0,187.15,1790437
TAKE-TWO INTERACTIVE SOFTWARE,187.85,0.12,188.19,189.28,187.14,1788468
INTUIT INC.,638.83,0.66,633.0,641.5,630.33,1784179
LEGEND BIOTECH CORP.,42.58,10.26,42.46,43.16,41.8,1775323
SKK HOLDINGS LTD.,1.49,2.76,1.61,1.62,1.42,1773292
APPLIED DNA SCIENCES INC.,0.157,11.75,0.159,0.163,0.156,1772857
TERADYNE INC.,109.06,11.45,112.11,112.13,108.07,1768350
MONGODB INC.,335.4,11.75,342.76,345.98,334.0,1768317
TRAVERE THERAPEUTICS INC.,19.06,4.84,18.33,19.12,18.19,1767140
WAG! GROUP CO.,0.1991,12.4,0.203,0.2085,0.19,1763585
PIXIE DUST TECHNOLOGIES,0.5799,0.0,0.528,0.7499,0.4225,1758627
ABCELLERA BIOLOGICS INC.,2.83,14.07,2.9,2.93,2.8,1757704
TRANSMEDICS GROUP INC.,80.61,2.58,78.19,81.22,77.69,1757377
REMITLY GLOBAL INC.,20.81,1.41,20.18,20.83,20.05,1748034
CITIUS PHARMACEUTICALS INC.,4.15,3092.31,3.58,4.25,2.55,1735386
WOODWARD INC.,187.29,4.46,198.51,201.64,186.81,1729573
PAGAYA TECHNOLOGIES,10.36,11.33,10.37,10.58,10.16,1728341
ICECURE MEDICAL,0.7865,1.2,0.825,0.8764,0.76,1718843
ALLIANT ENERGY CORP.,63.34,10.46,63.91,63.92,63.08,1715232
PENN ENTERTAINMENT INC.,21.29,0.57,21.12,21.35,20.85,1708284
VERU INC.,0.7408,8.0,0.691,0.759,0.69,1704115
ADAPTIVE BIOTECHNOLOGIES,5.68,1.79,5.64,5.93,5.29,1702249
GOPRO INC.,1.19,14.8,1.24,1.25,1.18,1701277
CONSOLIDATED COMMUNICATIONS HLD.,4.67,0.86,4.63,4.72,4.63,1688662
VERRA MOBILITY CORP.,23.61,11.58,23.91,24.28,23.6,1684337
BEYOND AIR INC.,0.667,22.16,0.5517,0.6761,0.5517,1681028
AKAMAI TECHNOLOGIES INC.,93.1,11.63,94.66,94.9,92.83,1678625
NEXTRACKER INC.,38.87,13.79,39.73,39.99,38.41,1676799
TRIPADVISOR INC.,13.88,12.32,14.1,14.2,13.83,1672008
ABOVE FOOD INGREDIENTS INC.,0.535,134.28,0.8132,0.827,0.51,1661198
VIGIL NEUROSCIENCE INC.,2.2,126.91,3.0,3.0,2.08,1660801
WARNER MUSIC GROUP,32.4,1.09,32.1,32.51,31.99,1658368
CHECKPOINT THERAPEUTICS INC.,4.1,1.74,4.1,4.33,3.99,1652394
MATTERPORT INC.,4.89,0.2,4.83,4.94,4.83,1651857
ACV AUCTIONS INC.,22.39,12.48,22.61,22.82,22.01,1645958
NANO DIMENSION,2.19,13.95,2.28,2.28,2.15,1635409
ACADIA HEALTHCARE CO.,41.03,2.6,39.93,41.15,39.66,1632656
HASBRO INC.,64.0,10.54,64.01,64.05,62.88,1631217
EVERGY INC.,64.84,0.54,64.78,64.89,64.24,1630313
BIOVIE INC.,2.82,16.0,2.98,2.99,2.71,1627826
LKQ CORP.,39.0,11.91,39.49,39.49,38.83,1617835
NEWS CORP.,29.28,10.61,29.37,29.52,29.18,1616778
ALIGN TECHNOLOGY INC.,227.93,15.23,237.26,237.48,226.52,1612863
VARONIS SYSTEMS INC.,49.91,10.4,50.15,50.45,49.46,1612820
FLYWIRE CORP.,22.46,12.14,22.8,22.8,22.24,1605050
CHAMPIONX CORP.,30.54,11.23,30.98,30.98,30.44,1603242
OMEROS CORP.,12.15,3.05,11.8,12.49,11.26,1598691
NEOGEN CORP.,14.17,17.45,15.11,15.14,14.06,1588974
HERON THERAPEUTICS INC.,1.1,13.51,1.15,1.16,1.07,1588264
CANADIAN SOLAR INC.,12.43,14.9,12.97,12.97,12.36,1574752
SUNSHINE BIOPHARMA INC.,3.04,24.59,2.38,3.1,2.38,1558496
KOPIN CORP.,1.01,16.48,1.09,1.11,0.97,1556531
BUMBLE INC.,8.65,14.74,9.0,9.01,8.56,1551703
ITERUM THERAPEUTICS PLC ORD.,2.05,3.02,2.02,2.18,2.01,1542818
DYNAVAX TECHNOLOGIES,12.66,1.36,12.44,12.77,12.41,1538429
AMICUS THERAPEUTICS INC.,9.87,1.54,9.7,9.93,9.67,1537440
MAGNITE INC.,16.69,0.54,16.44,16.75,16.25,1537234
AURORA CANNABIS INC.,4.41,13.5,4.58,4.59,4.39,1532429
SOLENO THERAPEUTICS INC.,58.34,1.96,53.62,59.31,53.25,1528640
NATIONAL VISION HLD.,12.44,1.8,12.05,12.52,11.92,1526089
SS&C TECHNOLOGIES HLD.,77.1,0.3,76.94,77.25,76.57,1524955
AQUESTIVE THERAPEUTICS INC.,4.88,1.46,4.81,5.06,4.75,1520755
C.H. ROBINSON WORLDWIDE INC.,106.36,11.1,107.71,108.11,105.8,1513762
PTC THERAPEUTICS INC.,46.01,7.02,43.54,47.24,43.25,1511859
EXSCIENTIA PLC ADS,4.84,0.0,4.63,4.85,4.49,1510051
FIVE9 INC.,40.89,10.2,40.67,41.15,39.7,1499692
PROGYNY INC.,15.27,13.05,15.64,15.72,15.01,1486404
GITLAB INC.,66.37,0.0,66.0,67.32,65.02,1486311
LION GROUP HOLDING,0.1753,15.75,0.185,0.186,0.1707,1483427
TPG INC.,71.19,10.14,70.92,72.26,70.27,1483313
ADICET BIO INC.,0.9603,6.23,0.9301,1.01,0.9301,1482100
INCYTE CORP.,74.8,1.74,74.14,74.95,73.1,1475653
VIAVI SOLUTIONS INC.,10.19,0.1,10.16,10.26,10.1,1472718
SPROUTS FARMERS MARKET INC.,153.31,3.6,148.1,153.65,147.52,1470439
ALKERMES PLC,29.25,10.37,29.43,29.68,28.69,1462687
MARRIOTT INTERNATIONAL,288.18,0.06,288.8,289.8,286.53,1459095
SCILEX HOLDING CO.,0.64,6.67,0.6275,0.64,0.5417,1456045
AVIDXCHANGE HOLDINGS INC.,11.46,11.12,11.49,11.6,11.36,1450787
4D MOLECULAR THERAPEUTICS INC.,7.5,11.57,7.73,7.99,7.47,1447066
TRANSCODE THERAPEUTICS INC.,0.377,9.59,0.37,0.4586,0.3402,1446982
PHUNWARE INC.,4.38,16.81,4.65,4.65,4.31,1444561
ARHAUS INC.,9.99,16.37,10.5,10.53,9.87,1441247
COSTCO WHOLESALE,971.5,1.1,964.0,974.37,960.89,1438037
BIOCRYST PHARMACEUTICALS INC.,7.49,3.03,7.27,7.53,7.17,1432113
GDS HOLDINGS LTD.,18.25,12.46,18.71,18.76,17.92,1430719
SEMLER SCIENTIFIC INC.,52.6,114.09,58.79,60.15,52.25,1430387
FUTU HOLDINGS LTD.,83.76,10.29,83.98,85.17,82.76,1427265
ASML HOLDING N.V. NEW YORK REGISTRY SHA,671.97,11.83,679.59,681.85,666.83,1424053
NANO-X IMAGING LTD,6.07,16.33,6.51,6.56,5.98,1421112
SCHOLAR ROCK HOLDING,37.06,11.75,38.05,39.14,36.92,1418165
BIOGEN INC.,157.69,10.64,159.2,160.0,156.09,1418028
FTAI INFRASTRUCTURE INC.,8.66,12.91,8.89,9.01,8.59,1415151
INNOVIZ TECHNOLOGIES,0.6771,11.15,0.685,0.7048,0.6313,1414407
INOZYME PHARMA INC.,2.65,0.38,2.65,2.78,2.56,1414242
GLOBAL-E ONLINE,51.66,10.69,51.5,52.57,51.36,1401093
HALOZYME THERAPEUTICS INC.,47.79,0.0,47.53,48.17,46.27,1400365
SURGERY PARTNERS INC.,22.89,12.14,23.26,23.63,22.82,1394387
AVID BIOSERVICES INC.,12.33,0.24,12.28,12.35,12.26,1391485
TABOOLA.COM,3.58,3.17,3.45,3.6,3.41,1387546
U-BX TECHNOLOGY,0.28,193.9,0.28,0.29,0.26,1387061
FERROGLOBE PLC,4.37,10.46,4.37,4.42,4.29,1386212
ANNEXON INC.,5.29,3.73,5.11,5.41,5.05,1373011
GAMING AND LEISURE PROPERTIES,51.17,10.21,51.47,51.47,50.87,1372211
GENTEX CORP.,30.88,10.64,30.83,30.97,30.44,1371438
CINTAS CORP.,226.47,1.15,225.29,228.12,225.12,1369662
THE HAIN CELESTIAL GROUP INC.,8.32,13.03,8.45,8.6,8.12,1368456
NEKTAR THERAPEUTICS,1.07,11.83,1.1,1.12,1.07,1366970
PAYCHEX INC.,146.19,0.64,146.0,146.32,144.97,1366818
GROUPON INC.,9.14,14.09,9.26,9.47,9.01,1366056
PORCH GROUP INC.,3.52,11.95,3.56,3.58,3.4,1363255
RETAIL OPPORTUNITY INVESTMENTS,17.41,0.06,17.4,17.41,17.38,1360147
OCULAR THERAPEUTIX INC.,9.75,7.26,9.12,9.87,9.05,1359939
SYMBOTIC INC.,37.41,10.16,37.78,39.29,36.63,1358743
COCA-COLA EUROPACIFIC PARTNERS PLC,77.94,10.26,78.07,78.09,77.27,1356913
VERRICA PHARMACEUTICALS INC.,1.11,12.12,0.99,1.15,0.97,1352672
B. RILEY FINANCIAL INC.,5.85,0.17,5.8,6.16,5.58,1351428
TALKSPACE INC.,3.31,13.5,3.35,3.42,3.29,1346413
ATLASSIAN CORP.,262.23,0.47,261.49,264.63,260.21,1345808
UNICYCIVE THERAPEUTICS INC.,0.5901,6.79,0.559,0.5936,0.5451,1344930
ALIGNMENT HEALTHCARE INC.,12.27,10.97,12.39,12.5,12.03,1342682
IONIS PHARMACEUTICALS INC.,35.37,10.25,35.49,36.01,35.03,1341157
GOSSAMER BIO INC.,0.7,0.11,0.7148,0.72,0.6961,1336672
NEUROGENE INC.,26.87,20.39,25.97,27.61,24.23,1332381
VERTEX PHARMACEUTICALS INC.,467.07,1.16,464.0,467.96,459.07,1327768
VAST RENEWABLES LTD.,1.87,112.21,2.08,2.1,1.8,1322589
XERIS BIOPHARMA HLD.,3.18,3.25,3.08,3.2,3.07,1321994
VAXART INC.,0.5992,12.11,0.62,0.6249,0.5823,1320897
NEXTNAV INC.,16.06,10.5,16.14,17.1,15.75,1317823
CROCS INC.,104.06,14.12,108.08,108.22,104.03,1313112
THE COOPER COMPANIES INC.,102.64,0.23,102.75,103.49,101.09,1312112
TANDEM DIABETES CARE INC.,30.04,11.25,30.35,31.07,29.99,1311517
INVIVYD INC.,0.59,111.97,0.679,0.6957,0.58,1308247
EXELIXIS INC.,36.45,0.19,36.37,36.48,35.8,1308122
T. ROWE PRICE GROUP INC.,123.95,0.8,122.56,124.31,122.04,1307622
INDIVIOR PLC,11.18,2.66,10.8,11.36,10.62,1307324
LICHEN CHINA LTD.,1.76,14.35,1.78,1.8,1.72,1304070
COLUMBIA BANKING SYSTEM INC.,31.72,10.91,31.75,32.06,31.6,1303505
MAXLINEAR INC,14.94,15.86,15.9,16.02,14.59,1299892
SOLID POWER INC.,1.11,14.31,1.17,1.18,1.1,1293173
MONOLITHIC POWER SYSTEMS INC.,572.08,14.79,598.77,602.3,568.1,1287366
STITCH FIX INC.,4.64,2.43,4.48,4.66,4.3,1284580
CLEARONE INC.,0.473,13.47,0.479,0.515,0.459,1281654
SUMMIT THERAPEUTICS INC.,19.2,0.05,19.06,19.54,18.88,1279376
ZSCALER INC.,210.3,10.06,210.69,211.99,207.82,1277405
LYRA THERAPEUTICS INC.,0.1983,4.37,0.195,0.2048,0.1905,1273049
ARCH CAPITAL GROUP,100.41,0.35,100.1,100.69,99.42,1269217
CLEAN ENERGY FUELS,2.84,12.07,2.92,2.94,2.81,1266181
RYANAIR HOLDINGS PLC ADS,43.32,11.07,43.37,43.63,42.68,1265237
HCW BIOLOGICS INC.,0.5584,18.13,0.5965,0.63,0.536,1261787
PENGUIN SOLUTIONS INC.,18.14,0.33,18.33,18.4,17.86,1255181
ACADIA PHARMACEUTICALS INC.,16.21,12.0,16.42,16.47,16.13,1254936
GENPREX INC.,1.12,12.0,1.06,1.24,1.0,1247736
LANTHEUS HOLDINGS INC.,89.53,11.57,91.0,91.36,89.07,1246710
LIBERTY BROADBAND,85.32,10.44,85.78,86.54,84.87,1237886
LIFESTANCE HEALTH GROUP INC.,7.49,11.45,7.56,7.7,7.4,1236075
TORM PLC,21.18,10.33,21.31,21.58,20.98,1235437
LYELL IMMUNOPHARMA INC.,0.9237,1.18,0.9151,1.03,0.89,1232090
NAUTICUS ROBOTICS INC.,1.02,14.61,0.9,1.1,0.89,1229762
VERONA PHARMA PLC ADS,39.84,0.4,39.85,40.0,39.1,1223339
DLOCAL LTD.,11.27,10.7,11.4,11.42,11.0,1222120
SANA BIOTECHNOLOGY INC.,2.45,11.21,2.51,2.51,2.41,1222052
CAPRICOR THERAPEUTICS INC.,19.06,1.28,19.07,20.21,18.56,1219997
NKARTA INC.,2.61,0.77,2.59,2.67,2.53,1217054
RELAY THERAPEUTICS INC.,4.76,12.06,4.88,4.97,4.6,1212587
ARGO BLOCKCHAIN PLC ADS,1.06,16.19,1.09,1.1,1.05,1211412
LULULEMON ATHLETICA INC.,318.84,12.41,325.39,326.22,318.24,1209476
GLYCOMIMETICS INC.,0.321,11.77,0.2945,0.3394,0.2901,1208522
BUZZFEED INC.,4.01,15.42,4.16,4.36,3.88,1207314
CORMEDIX INC.,9.78,11.71,9.95,10.07,9.44,1206792
X4 PHARMACEUTICALS INC.,0.3523,4.98,0.3336,0.3588,0.3333,1204417
THREDUP INC.,1.52,15.0,1.61,1.68,1.52,1202183
AVIDITY BIOSCIENCES INC.,43.8,12.95,45.59,45.98,43.31,1200980
DENALI THERAPEUTICS INC.,24.68,0.73,24.53,24.94,24.17,1197341
CRISPR THERAPEUTICS AG,49.31,12.16,50.0,50.5,48.49,1189846
TEMPEST THERAPEUTICS INC.,0.9404,2.76,0.929,0.9849,0.9106,1189773
QURATE RETAIL INC. SERIES A,0.424,12.3,0.4275,0.4355,0.4075,1183024
FIRST ADVANTAGE,19.73,10.8,19.85,20.0,19.49,1173803
GENMAB A/S ADS,20.65,10.67,20.76,20.76,20.46,1157925
NETEASE INC. ADS,86.21,0.95,86.07,86.48,84.97,1155781
CHARTER COMMUNICATIONS INC.,390.29,1.51,388.0,394.38,382.73,1155193
CATALYST PHARMACEUTICALS INC.,21.93,3.49,21.35,22.02,21.13,1152825
INTUITIVE SURGICAL INC.,542.1,1.03,542.06,545.0,537.28,1152817
FIRST INTERSTATE BANCSYSTEM,35.41,10.17,35.97,36.77,35.33,1148545
LUMENTUM HOLDINGS INC.,86.98,10.25,87.59,88.94,86.52,1144430
CADENCE DESIGN SYSTEMS INC.,310.1,10.73,314.55,316.37,309.42,1144068
BIOFRONTERA INC.,1.02,10.87,0.95,1.06,0.9,1143896
TUANCHE LTD.,0.856,110.83,0.868,0.968,0.8419,1142285
INNOVIVA INC.,19.14,10.26,19.14,19.24,18.93,1139545
CERUS CORP.,1.76,13.3,1.78,1.8,1.72,1139231
EXTREME NETWORKS INC.,16.94,2.73,16.36,16.94,16.22,1138356
FOX CORP.,43.81,0.23,43.83,44.0,43.59,1130409
ATAI LIFE SCIENCES N.V.,1.69,0.6,1.7,1.76,1.67,1128342
FOX FACTORY HOLDING,31.73,14.97,32.88,32.92,31.2,1121351
KRATOS DEFENSE & SECURITY SOLUTIONS,27.24,3.14,26.28,27.53,26.24,1117790
FRONTIER COMMUNICATIONS PARENT,34.84,10.11,34.87,34.96,34.81,1111571
IRIDIUM COMMUNICATIONS INC,29.11,12.93,29.94,29.95,28.76,1109899
INSMED INC.,75.68,2.15,73.85,76.0,73.52,1104512
LIGHTBRIDGE CORP.,5.79,17.66,6.33,6.34,5.7,1104203
MEDIACO HOLDING INC.,1.63,23.48,1.38,1.9,1.24,1099757
HIGH TIDE INC.,2.8,13.78,2.87,3.02,2.79,1092859
CYTOKINETICS INC.,52.02,3.52,49.7,52.74,49.38,1092101
PRECIGEN INC.,0.8599,17.56,0.9495,0.9495,0.8437,1092053
LIBERTY LATIN AMERICA,7.03,15.26,7.41,7.43,6.86,1090977
INVESTCORP EUROPE ACQUISITION CORP I,11.55,0.26,11.55,11.55,11.54,1089497
CARDLYTICS INC.,3.94,11.99,4.0,4.17,3.92,1086682
INARI MEDICAL INC.,50.83,2.73,49.56,51.63,49.28,1084911
URANIUM ROYALTY,2.47,13.14,2.52,2.55,2.47,1081408
LONGBOARD PHARMACEUTICALS INC.,59.95,0.07,59.92,59.95,59.88,1078203
AUTOZI INTERNET TECHNOLOGY (GLOBAL),1.36,119.53,1.6,1.64,1.26,1077211
AMNEAL PHARMACEUTICALS INC.,8.25,11.55,8.32,8.34,7.97,1077072
AVADEL PHARMACEUTICALS PLC ORD.,11.15,10.62,11.19,11.33,10.95,1070870
OLD DOMINION FREIGHT LINE INC.,225.97,0.38,223.39,226.21,221.83,1069781
SMX (SECURITY MATTERS) PUBLIC,0.2133,0.47,0.2123,0.2167,0.205,1067355
CONDUENT INC.,3.83,10.52,3.84,3.87,3.81,1065508
STOKE THERAPEUTICS INC.,11.77,10.08,11.8,12.05,11.65,1062045
MYRIAD GENETICS INC.,16.17,2.93,15.78,16.35,15.56,1061619
ROCKET PHARMACEUTICALS INC.,14.11,0.07,13.98,14.18,13.63,1058643
MOMENTUS INC.,0.5513,16.4,0.578,0.5876,0.54,1057580
LIFEMD INC.,6.34,12.01,6.43,6.68,6.04,1057447
CENTURY THERAPEUTICS INC.,1.35,3.85,1.34,1.38,1.3,1055221
DYNE THERAPEUTICS INC.,29.23,10.75,29.92,29.98,28.6,1053880
C4 THERAPEUTICS INC.,4.19,14.34,4.33,4.39,4.19,1052514
AUTOMATIC DATA PROCESSING INC.,307.97,1.08,305.6,308.31,304.76,1048750
VIMEO INC.,6.69,10.59,6.71,6.75,6.61,1046256
EDIBLE GARDEN AG INC.,0.1572,2.75,0.15,0.1649,0.15,1044360
KRISPY KREME INC.,10.92,11.89,11.05,11.1,10.86,1043777
RAMBUS INC.,57.77,1.55,60.78,60.84,57.21,1042250
VIRIDIAN THERAPEUTICS INC.,21.91,4.18,20.89,22.23,20.89,1041519
DAVE & BUSTER S ENTERTAINMENT,36.08,10.61,35.52,36.4,35.4,1041459
ORGANIGRAM HOLDINGS INC.,1.47,16.96,1.55,1.56,1.45,1037465
GARRETT MOTION INC.,8.48,1.19,8.34,8.57,8.33,1036141
HAYNES INTERNATIONAL INC.,60.99,0.0,60.98,61.01,60.93,1035748
ABSCI CORP.,2.75,12.83,2.82,2.84,2.74,1033319
VERACYTE INC.,42.84,4.23,40.88,42.86,40.57,1032316
ARQIT QUANTUM INC.,17.12,13.44,15.03,20.55,14.8,1032215
CHROMADEX CORP.,7.59,1.74,7.3,7.75,7.15,1030386
FTC SOLAR INC.,0.36,15.26,0.3677,0.3886,0.3521,1027924
ACCOLADE INC.,3.77,10.79,3.81,3.86,3.69,1027775
THE SIMPLY GOOD FOODS CO.,40.01,0.43,39.82,40.28,39.71,1021214
SPRINGWORKS THERAPEUTICS INC.,41.22,4.65,39.49,41.69,39.28,1015683
IMMUNOME INC.,11.53,3.41,11.15,11.81,10.82,1014855
GRUPO FINANCIERO GALICIA S.A. ADS  SHAR,56.73,2.2,56.11,58.19,55.38,1012685
ALPHATEC HOLDINGS INC.,9.61,10.1,9.67,9.78,9.48,1012168
GOODRX HOLDINGS INC.,4.76,12.66,4.83,4.87,4.71,1010672
INSPIRE VETERINARY PARTNERS,0.2002,15.12,0.2101,0.2149,0.196,1008476
TRIMBLE INC.,72.37,10.8,72.68,72.8,72.19,1006058
CERTARA INC.,10.93,11.09,10.97,11.05,10.78,1003721
LUCID DIAGNOSTICS INC.,0.9984,1.84,0.98,1.005,0.9499,1003040
THE CHEESECAKE FACTORY INC.,48.85,0.16,48.6,48.92,48.26,1001379
MARINUS PHARMACEUTICALS INC.,0.3218,10.62,0.323,0.3297,0.3133,1001005
BIOMARIN PHARMACEUTICAL INC.,64.88,10.32,65.0,65.09,64.11,999740
ONESTREAM INC.,31.99,11.57,32.45,32.45,31.55,998861
INTER & CO. INC.,5.58,11.24,5.64,5.68,5.57,995197
BIO-TECHNE CORP,74.87,0.65,73.81,75.13,72.72,995017
EXPEDIA GROUP INC.,186.28,1.2,184.09,186.53,183.21,991700
CUTERA INC.,0.392,20.39,0.33,0.4073,0.33,990977
PRAXIS PRECISION MEDICINES,79.66,6.67,74.95,81.04,74.3,990502
PORTILLO S INC.,11.24,10.53,11.38,11.43,11.06,988014
ALNYLAM PHARMACEUTICALS INC.,253.35,0.94,249.37,253.74,247.76,985940
SYRA HEALTH CORP.,0.427,14.32,0.3601,0.44,0.353,984358
ICORECONNECT INC.,0.1676,16.11,0.178,0.178,0.1676,983197
ATOUR LIFESTYLE HOLDINGS,25.0,13.55,26.08,26.13,24.84,981368
VNET GROUP INC. ADS,3.59,12.71,3.66,3.67,3.45,977768
SIDUS SPACE INC.,1.42,5.97,1.48,1.5,1.33,975610
GREENWAVE TECHNOLOGY SOLUTIONS,0.2977,17.23,0.3209,0.33,0.2924,973799
TPI COMPOSITES INC.,1.99,17.01,2.21,2.21,1.98,969764
NATERA INC.,168.32,2.39,162.9,168.48,162.9,969256
STEEL DYNAMICS INC.,143.63,10.93,146.0,148.81,143.21,969047
ICON PLC,212.15,12.13,214.64,215.38,209.32,968656
KYMERA THERAPEUTICS INC.,45.98,12.21,46.92,47.56,44.75,967461
MAXCYTE INC.,3.38,16.37,3.6,3.61,3.33,966975
WAVE LIFE SCIENCES,14.83,10.4,15.04,15.34,14.44,965817
ALPHA AND OMEGA SEMICONDUCTOR,39.68,11.68,39.97,41.1,38.75,963440
